Open,Low,High,Close,Rate_change,Percent_change,Date,Solar_date
255800,255800,255800,255800,31610,12.36%,2022/05/11,1401/02/21
282210,282210,288300,287410,5120,1.81%,2022/05/10,1401/02/20
282930,281800,283100,282290,1260,0.45%,2022/05/09,1401/02/19
281490,280700,282100,281030,730,0.26%,2022/05/08,1401/02/18
279550,279410,283200,281760,1200,0.43%,2022/05/07,1401/02/17
279800,279300,280630,280560,350,0.12%,2022/05/05,1401/02/15
279530,279050,280300,280210,650,0.23%,2022/05/02,1401/02/12
279460,279400,279900,279560,340,0.12%,2022/05/01,1401/02/11
279720,279100,280490,279220,280,0.1%,2022/04/30,1401/02/10
279240,278500,280700,279500,880,0.31%,2022/04/28,1401/02/08
279390,279200,281100,280380,1030,0.37%,2022/04/27,1401/02/07
278460,278300,280600,279350,940,0.34%,2022/04/26,1401/02/06
277790,277000,278800,278410,350,0.13%,2022/04/25,1401/02/05
278570,277900,279300,278060,580,0.21%,2022/04/24,1401/02/04
277440,277400,279200,278640,1290,0.47%,2022/04/21,1401/02/01
275610,275500,278200,277350,1630,0.59%,2022/04/20,1401/01/31
276520,275510,278090,275720,790,0.29%,2022/04/19,1401/01/30
278370,276000,279900,276510,2460,0.89%,2022/04/18,1401/01/29
278710,278600,280800,278970,60,0.02%,2022/04/17,1401/01/28
275340,275200,279600,278910,1000,0.36%,2022/04/16,1401/01/27
277320,277200,277400,277910,140,0.05%,2022/04/14,1401/01/25
278680,275600,278700,278050,850,0.31%,2022/04/13,1401/01/24
279620,278200,281500,278900,550,0.2%,2022/04/12,1401/01/23
278880,252660,281300,279450,360,0.13%,2022/04/11,1401/01/22
276310,275700,279300,279090,2160,0.78%,2022/04/10,1401/01/21
274970,274900,277300,276930,2100,0.76%,2022/04/09,1401/01/20
272680,272500,276000,274830,2160,0.79%,2022/04/07,1401/01/18
274960,271880,275100,272670,2600,0.95%,2022/04/06,1401/01/17
270140,269200,275400,275270,2600,0.95%,2022/04/05,1401/01/16
269140,269000,272000,269880,860,0.32%,2022/04/04,1401/01/15
270140,268000,270200,269020,2120,0.79%,2022/04/03,1401/01/14
270460,269950,271500,271140,470,0.17%,2022/03/31,1401/01/11
271800,269450,272000,270670,420,0.16%,2022/03/30,1401/01/10
267400,267050,270700,270250,3630,1.36%,2022/03/29,1401/01/09
262750,262500,267490,266620,4030,1.53%,2022/03/28,1401/01/08
262210,262100,262750,262590,250,0.1%,2022/03/27,1401/01/07
262240,261650,266100,262340,40,0.02%,2022/03/26,1401/01/06
